	graphletCounts/leo-tolstoy/leo-tolstoy-master-and-men	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-1	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	graphletCounts/leo-tolstoy/leo-tolstoy-anna-karenina	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-first-series	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-nature	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-representative-men	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-second-series	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-english-traits	graphletCounts/walter-scott/walter-scott-the-monestary	graphletCounts/walter-scott/walter-scott-the-tailsmen	graphletCounts/walter-scott/walter-scott-waverly-1	graphletCounts/walter-scott/walter-scott-waverly-2	graphletCounts/walter-scott/walter-scott-ivanhoe	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-house-of-the-dead	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-uncles-dream	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-gambler	graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	graphletCounts/gustave-flaubert/gustave-flaubert-simple-soul	graphletCounts/gustave-flaubert/gustave-flaubert-temptation-anthony	graphletCounts/gustave-flaubert/gustave-flaubert-short-works	graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	graphletCounts/henry-david-thoreau/henry-david-thoreau-maine-woods	graphletCounts/henry-david-thoreau/henry-david-thoreau-on-duty-civil	graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	graphletCounts/henry-david-thoreau/henry-david-thoreau-walking	graphletCounts/henry-david-thoreau/henry-david-thoreau-excursions	graphletCounts/margaret-fuller/margaret-fuller-summer-on-the-lakes	graphletCounts/margaret-fuller/margaret-fuller-at-home-and-abroad	graphletCounts/margaret-fuller/margaret-fuller-life-without-and-life-within	graphletCounts/margaret-fuller/margaret-fuller-woman-in-the-nineteenth-century	graphletCounts/margaret-fuller/margaret-fuller-memoirs-of-margaret-fuller-ossoli-vol-1	graphletCounts/mary-shelley/mary-shelley-last-man	graphletCounts/mary-shelley/mary-shelley-tales-stories	graphletCounts/mary-shelley/mary-shelley-prosepine-midas	graphletCounts/mary-shelley/mary-shelley-mathilda	graphletCounts/mary-shelley/mary-shelley-frankenstein	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-literary-remains	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-shakespere	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-biographia-literaria	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-specimens-of-the-table-talk	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-aids-to-reflection
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	0.0607659138251736	0.059787758329198804	0.05354642469869675	0.051094276961773266	0.061688024877063485	0.04810577823490936	0.04739196310370852	0.0343467638044479	0.03359614284390733	0.0473650215648479	0.02289792778186528	0.01709814780013874	0.016180809408357644	0.004718585771362305	0.0301197622321987	0.010992627554701762	0	0.01152320053103939	0.011657918466969508	0.010595827170660543	0.014119422748390065	0.017097963879778466	0.017714894285278504	0.01717367007024151	0.016002989594763317	0.02479898167059902	0.02343041931835843	0.02070476178917935	0.023494623832104655	0.024606328167354197	0.02380481582000027	0.022648751451653903	0.019893297115008424	0.022595242917240133	0.02227808207957216	0.025672170889302515	0.026792218937536916	0.02623120940360235	0.026217214539098754	0.022612396203547935	0.03320166260982116	0.03378771730316288	0.03437056700947971	0.03983473314437547	0.03603150054963522
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-uncles-dream	0.060179527708333236	0.059042571637090924	0.0530504518825079	0.05033111414138802	0.06076148536723258	0.048202406848003365	0.04785681231733696	0.035802235499844626	0.03488764944462941	0.047967653702345125	0.025475872181033643	0.020807275890028287	0.01921443489830965	0.011580776076505206	0.03189350310518435	0.006214811127510211	0.01152320053103939	0	0.0035528751829545513	0.009332178582667328	0.01108493052810744	0.013469072233861845	0.014745730889052955	0.013437747844437742	0.012886749264214736	0.021976258838596996	0.02077119691904261	0.018695641388335238	0.020871867205632832	0.021763061487338975	0.021477557301742167	0.020075847670822156	0.018606655752320345	0.022040372593220448	0.02051195063393818	0.02530224709307405	0.026142021464522047	0.025955559957228647	0.025911327296969544	0.021832430115203416	0.032771848862644504	0.031823613693050756	0.0349113227157537	0.03739575759957248	0.03595578502887886
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	0.06040078252572456	0.05933866145571398	0.053031930736972654	0.050712141271286315	0.06090527572693738	0.048546530119442655	0.048202000966179215	0.03594206264331912	0.035156431518940545	0.048262279395506424	0.025979506785234974	0.02128210342078707	0.019180741823947134	0.01160288601011128	0.03185855523247838	0.00665077463930952	0.011657918466969508	0.0035528751829545513	0	0.009985852306944265	0.011413531726510273	0.013666100005496062	0.01502210919657121	0.013609188507353709	0.013124646167940068	0.021852095851021214	0.020696079136041212	0.01857084193432923	0.020910500169232238	0.021288012434678594	0.021665748039501498	0.02013415545992625	0.01871670481292398	0.02196787028332403	0.020606178270483277	0.025301433806148244	0.026267209545665193	0.026040216207212086	0.025992447924510387	0.021853594755312455	0.03294628982731673	0.03195630109825831	0.03490730316703872	0.03741320810551385	0.03606172515092887
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-gambler	0.06155973445607543	0.059702020349365004	0.05430747290810767	0.05119226714980718	0.06285647701561714	0.047518120688854304	0.04706294401061217	0.03538933859028737	0.033259583710329554	0.047350276521393675	0.02409413882611855	0.019283578859769057	0.0195622815961618	0.011000472010937234	0.03158544909794492	0.008361519058432965	0.010595827170660543	0.009332178582667328	0.009985852306944265	0	0.011387747833861983	0.014377416763128315	0.01547909374664147	0.014478790888955206	0.013363433157978166	0.023586389864423185	0.02169391924290731	0.018859615902271032	0.021039097892221914	0.023156940750777233	0.024168939090504993	0.02128487946336932	0.02088237769372847	0.02424029870576061	0.02332821794028006	0.02753743833781741	0.02819513085648495	0.028020952795138387	0.027958874563163816	0.02412962222888626	0.03286472134157892	0.03306266388685519	0.03619897691183027	0.03951807073115421	0.03838638785499171
graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	0.060741298287766754	0.058162170353856624	0.0529233898682091	0.049378250436059035	0.06222960224451268	0.04544028021847546	0.04503255323095956	0.035171942866566996	0.03295341766550608	0.04550209353612544	0.027165368468128226	0.02145726188540098	0.0208086221203434	0.014168875848919793	0.031673783252267995	0.011536269859991788	0.014119422748390065	0.01108493052810744	0.011413531726510273	0.011387747833861983	0	0.008697249060460766	0.010112173436144678	0.008564919602497056	0.006646939167910371	0.021093181858541254	0.019480897442542777	0.016511092430404606	0.018829195748023553	0.01979497481694914	0.022395423670157788	0.019866512422874516	0.02086579993423887	0.023537048615892675	0.021469211799619692	0.027485169128167675	0.02838611661227408	0.027934000984571328	0.02788842494217847	0.02344941895675312	0.03132878823734986	0.03122079173079828	0.03435246306236739	0.03638749090326243	0.03726435697176789
graphletCounts/gustave-flaubert/gustave-flaubert-simple-soul	0.06075203540162344	0.057945221988002005	0.052910838522279735	0.048635280165429395	0.062094800589345245	0.04409711899624691	0.04373873880010448	0.03479871067142715	0.0320405067413726	0.04430076318650045	0.02841231932839794	0.022921580810521314	0.022456132949928098	0.017035622480173318	0.03144905879467774	0.0136809708715242	0.017097963879778466	0.013469072233861845	0.013666100005496062	0.014377416763128315	0.008697249060460766	0	0.005927411992020737	0.002623735735495236	0.005648209781595748	0.021950576655319298	0.020266425515006903	0.01534333339338212	0.01940914333838728	0.02049402860739835	0.023739502644149924	0.021613135438984687	0.021421320199101812	0.02568892952179025	0.022798273831293847	0.02971276305126136	0.030659039887188877	0.030450439665609008	0.03039770667708397	0.02535139076984183	0.03297835503850011	0.03263729380474201	0.03648280226124434	0.03742203625895257	0.039942445451220276
graphletCounts/gustave-flaubert/gustave-flaubert-temptation-anthony	0.060835453409064044	0.05787604301319804	0.052835553082973274	0.048655235828461874	0.0622076964489241	0.04426954826797691	0.04390546108806581	0.03501285198638826	0.03220161551504719	0.044396786258115606	0.028646710949105203	0.02341408909218934	0.023366244667865965	0.01761443792099593	0.03211406554652241	0.015213782720782665	0.017714894285278504	0.014745730889052955	0.01502210919657121	0.01547909374664147	0.010112173436144678	0.005927411992020737	0	0.006494416833004113	0.008089332225951984	0.0210951270378964	0.019408776269077443	0.014458120323928236	0.018550477417349276	0.019678489972841162	0.022764409101897365	0.0206381469254302	0.020595647987217136	0.024397120289941898	0.02172555107012486	0.028974247947756382	0.029919768652662437	0.029747683339931275	0.029676395937784483	0.0240291368084945	0.03273015927582845	0.03232851515319768	0.03587967549340054	0.03670181725745936	0.0393518493543803
graphletCounts/gustave-flaubert/gustave-flaubert-short-works	0.0606080454636273	0.05777443178667885	0.05271803449001722	0.04846955332364877	0.06191772223083469	0.043965161152458854	0.04358161528212201	0.03468532156797288	0.031848221701344936	0.04416583119077089	0.028402941446356467	0.022913589268475643	0.02237420013191449	0.01707684153259692	0.03135220373727188	0.013650718175719279	0.01717367007024151	0.013437747844437742	0.013609188507353709	0.014478790888955206	0.008564919602497056	0.002623735735495236	0.006494416833004113	0	0.005766529054252234	0.02206704686137484	0.020393183954593663	0.015476444458234706	0.019568167946926285	0.020639584011740042	0.02382289605341681	0.021710036735225313	0.021560470798568487	0.025744896825688923	0.022871845505021637	0.029765168411528986	0.030732620508148956	0.030506407513309908	0.03045144813527223	0.025425805467003793	0.03305320153627089	0.03269637434608008	0.03657647019564736	0.037518774229885477	0.04000165702013392
graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	0.060670171921886284	0.05764682165516577	0.05291968195568708	0.04851575114391038	0.0621110979930255	0.04344990827451234	0.0431225681494406	0.034040458774171056	0.03155624184102446	0.043593390544088395	0.02784933809314627	0.022303833423908404	0.021906964359468373	0.015939875330820308	0.03134106337794573	0.013249410707178777	0.016002989594763317	0.012886749264214736	0.013124646167940068	0.013363433157978166	0.006646939167910371	0.005648209781595748	0.008089332225951984	0.005766529054252234	0	0.021213036149608233	0.019407546914984475	0.015952643259044108	0.01863623104612011	0.01974618959177088	0.023165240161114542	0.020762869784008542	0.02179015713063115	0.024644523872046742	0.02235725732056837	0.028725474893122493	0.02945535802901922	0.029287163531202975	0.02925048774132699	0.024351606084085042	0.031787672941018474	0.031850009499152176	0.03532410765847749	0.0370450928343925	0.03858706226656683
graphletCounts/henry-david-thoreau/henry-david-thoreau-maine-woods	0.06139738340931389	0.059530427903225824	0.054319114415997016	0.0513456596195595	0.062306968218304504	0.04712267178150331	0.04651701498743677	0.039040841376079216	0.03814638977672169	0.04793660234517094	0.03589533052496685	0.031744035585514196	0.03019064531399629	0.024868199246685818	0.036183743522941625	0.02333652444641543	0.02479898167059902	0.021976258838596996	0.021852095851021214	0.023586389864423185	0.021093181858541254	0.021950576655319298	0.0210951270378964	0.02206704686137484	0.021213036149608233	0	0.005041807947680277	0.017072870634932236	0.008102634454486557	0.007024631552559613	0.020333033690310143	0.01207988947359584	0.021846466946191412	0.026274930279078124	0.02040745393899035	0.031559712354406244	0.032005858307255663	0.03196533027793269	0.03191581757510631	0.026049254473492267	0.033822079738982436	0.030572150119420938	0.036957909343760864	0.027599603893581848	0.04253785543163213
graphletCounts/henry-david-thoreau/henry-david-thoreau-on-duty-civil	0.06241211728484075	0.06035552060661431	0.055458733750820444	0.05224545148951354	0.06351931587222959	0.046933744173980774	0.046290931213473385	0.037652654143692454	0.036154616397049755	0.04720194002920841	0.03423795932745011	0.03004913869016501	0.02919525245971477	0.02351278808675039	0.036313373780583746	0.022023159449791718	0.02343041931835843	0.02077119691904261	0.020696079136041212	0.02169391924290731	0.019480897442542777	0.020266425515006903	0.019408776269077443	0.020393183954593663	0.019407546914984475	0.005041807947680277	0	0.015332152753895323	0.005315688850937139	0.009127484663772223	0.020211574786537345	0.011621024983036743	0.020744785881570693	0.025049221083171758	0.020034862884977023	0.030212796630740724	0.030595157809680362	0.030517998440457883	0.030462266112808334	0.024855538054947668	0.03177600402061742	0.028931227308367835	0.035528057893477016	0.02923241420468259	0.041279994811588394
graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	0.06554107975977685	0.06377587493858594	0.05886746812323307	0.055252884268659375	0.06666615467282078	0.05015282751622985	0.04969095412771973	0.039689928136452446	0.037204365086657476	0.050211715892293785	0.030345353470116354	0.025939687239155296	0.026210779359530978	0.02130392459078334	0.033391087486801196	0.018658532805755246	0.02070476178917935	0.018695641388335238	0.01857084193432923	0.018859615902271032	0.016511092430404606	0.01534333339338212	0.014458120323928236	0.015476444458234706	0.015952643259044108	0.017072870634932236	0.015332152753895323	0	0.014159169609310074	0.014541552217069209	0.024030445225159847	0.01852063642213564	0.020444241004448527	0.026724632785994573	0.023319879848936576	0.031624422103735395	0.03208424339930194	0.032314357471660005	0.03224533061929402	0.026324281229817337	0.03364277873454102	0.031521606883710196	0.03776634488593433	0.03461181501245025	0.042569537272570845
graphletCounts/henry-david-thoreau/henry-david-thoreau-walking	0.06325940695677057	0.06068729596137701	0.05623083667026463	0.052597647530616354	0.0646827591146244	0.04632609992024217	0.045653219403169354	0.03845853244960018	0.035509241533682845	0.046813753478535	0.034687446793180254	0.03015672199530406	0.030129564360967254	0.023588246379496636	0.03724787991957379	0.021939624362066312	0.023494623832104655	0.020871867205632832	0.020910500169232238	0.021039097892221914	0.018829195748023553	0.01940914333838728	0.018550477417349276	0.019568167946926285	0.01863623104612011	0.008102634454486557	0.005315688850937139	0.014159169609310074	0	0.01121422095734248	0.01976509636041679	0.011399047759525271	0.02053619696609077	0.0250208081289931	0.019735781694355414	0.030236081808628246	0.03050681389852483	0.030486144627301925	0.03044455950099756	0.024875770178104606	0.031099321939558222	0.028554621869906982	0.035460069925637105	0.029180271130125446	0.04123306842731922
graphletCounts/henry-david-thoreau/henry-david-thoreau-excursions	0.0617287420464242	0.060349453402132935	0.05545018608053709	0.052074092491095514	0.06279231112865413	0.0476407339484749	0.0473543668552735	0.03994953909847099	0.0389485210245345	0.04858130368420166	0.03597508921875425	0.031938358359551056	0.0299303942438357	0.024764359090486576	0.0359328472549294	0.022443145498792116	0.024606328167354197	0.021763061487338975	0.021288012434678594	0.023156940750777233	0.01979497481694914	0.02049402860739835	0.019678489972841162	0.020639584011740042	0.01974618959177088	0.007024631552559613	0.009127484663772223	0.014541552217069209	0.01121422095734248	0	0.02207416451205113	0.014332576824611198	0.02357599319359205	0.027551849742123546	0.022518457455586227	0.03231712707228018	0.03267566232376029	0.032838703407373826	0.032749559423296604	0.02713454246931135	0.03530961093180163	0.03217040086348533	0.038361037799074404	0.028897736773023985	0.04316230598627835
graphletCounts/margaret-fuller/margaret-fuller-summer-on-the-lakes	0.05683599825064711	0.056802007642540175	0.05087136843780182	0.04819811192980883	0.05761701195654034	0.04656193545983622	0.04605327005834903	0.03846720105006618	0.03739179362115175	0.04684158980255826	0.03307871753759206	0.03080330869591097	0.03023885816114036	0.023676115296132005	0.03840167695879848	0.02366723257043135	0.02380481582000027	0.021477557301742167	0.021665748039501498	0.024168939090504993	0.022395423670157788	0.023739502644149924	0.022764409101897365	0.02382289605341681	0.023165240161114542	0.020333033690310143	0.020211574786537345	0.024030445225159847	0.01976509636041679	0.02207416451205113	0	0.01615313095170301	0.013526239094755366	0.014244743965673323	0.00617788765800531	0.020054615549058852	0.020764803415314836	0.020269807396988915	0.0202454698397444	0.013934297048589395	0.027130044996728997	0.025988894401831164	0.029348124042081536	0.02868246191227719	0.030911130344380533
